srun: job 26232 queued and waiting for resources
  G= 16 NG= 128 CTAs=  1536 p2=seq       :   4779.8 us  speedup  1.12x  | p1a   653.3 p1b   652.4 p2  2815.1 p3   660.4 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG= 128 CTAs=  1536 p2=tree+graph:   6687.7 us  speedup  0.80x  | p1a   811.3 p1b   652.6 p2  4724.9 p3   668.5 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  64 CTAs=   768 p2=seq       :   3321.8 us  speedup  1.62x  | p1a   645.0 p1b   637.9 p2  1414.2 p3   638.9 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  64 CTAs=   768 p2=tree+graph:   4064.4 us  speedup  1.32x  | p1a   801.7 p1b   635.9 p2  2167.2 p3   637.8 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=  32 CTAs=   384 p2=seq       :   2712.7 us  speedup  1.98x  | p1a   673.8 p1b   668.7 p2   712.8 p3   672.8 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=  32 CTAs=   384 p2=tree+graph:   2997.0 us  speedup  1.79x  | p1a   809.3 p1b   671.8 p2  1005.0 p3   670.6 us  | out max_abs 0.00e+00 mean 0.00e+00

===== B=1 T=16384 H=32  (B*H=32 CTA in baseline K2, NT=1024) =====
  baseline flash_kda.fwd(K1+K2):   2909.1 us
  G=  8 NG= 128 CTAs=  4096 p2=seq       :   6188.3 us  speedup  0.47x  | p1a   897.2 p1b   898.0 p2  3490.9 p3   912.3 us  | out max_abs 0.00e+00 mean 0.00e+00
  G=  8 NG= 128 CTAs=  4096 p2=tree+graph:  14656.9 us  speedup  0.20x  | p1a  1096.4 p1b   906.3 p2 11965.8 p3   908.1 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG=  64 CTAs=  2048 p2=seq       :   4190.2 us  speedup  0.69x  | p1a   821.3 p1b   812.2 p2  1749.0 p3   826.4 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG=  64 CTAs=  2048 p2=tree+graph:   7728.5 us  speedup  0.38x  | p1a   999.4 p1b   817.0 p2  5293.6 p3   813.9 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  32 CTAs=  1024 p2=seq       :   3264.8 us  speedup  0.89x  | p1a   828.6 p1b   791.4 p2   879.7 p3   810.0 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  32 CTAs=  1024 p2=tree+graph:   4744.5 us  speedup  0.61x  | p1a   947.4 p1b   803.8 p2  2374.1 p3   813.9 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=  16 CTAs=   512 p2=seq       :   2861.2 us  speedup  1.02x  | p1a   815.2 p1b   812.0 p2   427.1 p3   818.2 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=  16 CTAs=   512 p2=tree+graph:   3477.7 us  speedup  0.84x  | p1a   983.1 p1b   816.2 p2  1053.1 p3   818.0 us  | out max_abs 0.00e+00 mean 0.00e+00

===== B=1 T=65536 H=16  (B*H=16 CTA in baseline K2, NT=4096) =====
  baseline flash_kda.fwd(K1+K2):  10928.1 us
  G=  8 NG= 512 CTAs=  8192 p2=seq       :  17251.1 us  speedup  0.63x  | p1a  1918.0 p1b  1915.9 p2 11477.1 p3  1924.0 us  | out max_abs 0.00e+00 mean 0.00e+00
  G=  8 NG= 512 CTAs=  8192 p2=tree+graph:  36544.4 us  speedup  0.30x  | p1a  2193.5 p1b  1926.8 p2 30846.4 p3  1938.1 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG= 256 CTAs=  4096 p2=seq       :  10661.9 us  speedup  1.02x  | p1a  1651.9 p1b  1647.6 p2  5746.8 p3  1655.7 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG= 256 CTAs=  4096 p2=tree+graph:  18586.5 us  speedup  0.59x  | p1a  1920.0 p1b  1639.1 p2 13643.2 p3  1649.5 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG= 128 CTAs=  2048 p2=seq       :   7522.5 us  speedup  1.45x  | p1a  1537.0 p1b  1547.3 p2  2880.6 p3  1551.3 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG= 128 CTAs=  2048 p2=tree+graph:  10784.3 us  speedup  1.01x  | p1a  1802.6 p1b  1551.5 p2  6176.3 p3  1542.9 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=  64 CTAs=  1024 p2=seq       :   6050.2 us  speedup  1.81x  | p1a  1542.0 p1b  1532.9 p2  1445.0 p3  1598.5 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=  64 CTAs=  1024 p2=tree+graph:   7398.3 us  speedup  1.48x  | p1a  1809.4 p1b  1534.0 p2  2807.2 p3  1538.9 us  | out max_abs 0.00e+00 mean 0.00e+00

===== B=1 T=8192 H=96  (B*H=96 CTA in baseline K2, NT=512) =====
  baseline flash_kda.fwd(K1+K2):   1788.7 us
  G=  8 NG=  64 CTAs=  6144 p2=seq       :   7099.1 us  speedup  0.25x  | p1a  1307.7 p1b  1307.8 p2  3249.2 p3  1303.5 us  | out max_abs 0.00e+00 mean 0.00e+00
  G=  8 NG=  64 CTAs=  6144 p2=tree+graph:  19199.4 us  speedup  0.09x  | p1a  1583.6 p1b  1299.4 p2 15314.4 p3  1297.2 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG=  32 CTAs=  3072 p2=seq       :   5152.3 us  speedup  0.35x  | p1a  1189.0 p1b  1187.0 p2  1603.5 p3  1182.7 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 16 NG=  32 CTAs=  3072 p2=tree+graph:  10100.4 us  speedup  0.18x  | p1a  1217.7 p1b  1191.0 p2  6540.7 p3  1205.1 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  16 CTAs=  1536 p2=seq       :   4309.7 us  speedup  0.42x  | p1a  1175.6 p1b  1174.6 p2   799.7 p3  1167.4 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 32 NG=  16 CTAs=  1536 p2=tree+graph:   6266.8 us  speedup  0.29x  | p1a  1489.7 p1b  1171.5 p2  2752.0 p3  1172.3 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=   8 CTAs=   768 p2=seq       :   3970.2 us  speedup  0.45x  | p1a  1197.2 p1b  1188.8 p2   400.5 p3  1197.1 us  | out max_abs 0.00e+00 mean 0.00e+00
  G= 64 NG=   8 CTAs=   768 p2=tree+graph:   4688.2 us  speedup  0.38x  | p1a  1523.1 p1b  1190.9 p2  1125.8 p3  1200.0 us  | out max_abs 0.00e+00 mean 0.00e+00
     28 1095
